,,,,合計金額,"\55,907,112 ",,,,,,,,,,,,,,\0 ,\0 ,,,,,,
識別コード,識別コード分類,資材分類,資材区分,資材コード,備考,品名,色/他,構成,巾,長さ,t/厚み,単位,単価,棚卸し対象,対象,廃盤フラグ,前月在庫,数量合計の合計,合計金額の合計,合計金額(1%増し),調査日,顧客名,現場名,依頼番号,進捗率,前月差
02-080,02,面材,直接資材,N02000000000080,アイマックス,MDF化粧天板 t18X405X2450 WM,WM,MDF,405,2450,18,枚,2895,9,対象(外注先売却予定),0,6,6,17370,17543.7,2026/02/20,,,,100,
02-083,02,面材,直接資材,N02000000000083,アイマックス,化粧MDF t18X4'X8' WM,WM,MDF,4',8',18,枚,9315,9,対象(外注先売却予定),0,13,13,121095,122305.95,2026/02/20,,,,100,
02-084,02,面材,直接資材,N02000000000084,アイマックス,化粧MDF t18X3'X6' ｽｴｯﾄｸﾛﾏ,ｽｴｯﾄｸﾛﾏ,MDF,920,1850,18,枚,1800,9,対象(外注先売却予定),0,2,2,3600,3636,2026/02/20,,,,100,
02-086,02,面材,直接資材,N02000000000086,アイマックス,MDF化粧天板 t18X405X2450 CS色,CS,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,6,6,18330,18513.3,2026/02/20,,,,100,
02-088,02,面材,直接資材,N02000000000088,アイマックス,MDF化粧天板 t18X405X2450 住友MC,住友MC,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,43,43,137170,138541.7,2026/02/20,,,,100,
02-089,02,面材,直接資材,N02000000000089,アイマックス,MDF化粧天板 t18X405X2450 MW色,MW,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,49,49,156310,157873.1,2026/02/20,,,,100,
02-090,02,面材,直接資材,N02000000000090,アイマックス,MDF化粧天板 t18X405X2450 NO色,NO,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,10,10,30550,30855.5,2026/02/20,,,,100,
02-091,02,面材,直接資材,N02000000000091,アイマックス,MDF化粧天板 t18X405X2450 BA色,BA,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,22,22,67210,67882.1,2026/02/20,,,,100,
02-092,02,面材,直接資材,N02000000000092,アイマックス,MDF化粧天板 t18X405X2450 MA色,MA,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,30,30,91650,92566.5,2026/02/20,,,,100,
02-093,02,面材,直接資材,N02000000000093,アイマックス,MDF化粧天板 t18X405X2450NBL色,NBL,MDF,405,2450,18,枚,3190,9,対象(外注先売却予定),0,10,10,31900,32219,2026/02/20,,,,100,
02-094,02,面材,直接資材,N02000000000094,アイマックス,MDF化粧天板 t18X405X2450 TO色,TO,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,25,25,76375,77138.75,2026/02/20,,,,100,
02-095,02,面材,直接資材,N02000000000095,アイマックス,MDF化粧天板 t18X405X2450 UW色,UW,MDF,405,2450,18,枚,3055,9,対象(外注先売却予定),0,15,15,45825,46283.25,2026/02/20,,,,100,
02-097,02,面材,直接資材,N02000000000097,,MDF t18X4'X6' BSH-254,BSH-254,MDF,4',6',18,枚,5000,1,対象(通常品),0,0,0,0,0,2026/02/20,,,,100,
02-098,02,面材,直接資材,N02000000000098,アイマックス,MDF t18X3'X6' BR/ｸﾞﾚ,BR,MDF,910,1820,18,枚,4381,9,対象(外注先売却予定),0,5,5,21905,22124.05,2026/02/20,,,,100,
02-099,02,面材,直接資材,N02000000000099,アイマックス,MDF t18x4'x8' BW,BW,MDF,4',8',18,枚,7842,9,対象(外注先売却予定),0,41,41,321522,324737.22,2026/02/20,,,,100,
02-100,02,面材,直接資材,N02000000000100,アイマックス,MDF t18x4'x8' LO,LO,MDF,4',8',18,枚,9315,9,対象(外注先売却予定),0,15,15,139725,141122.25,2026/02/20,,,,100,
02-104,02,面材,直接資材,N02000000000104,,MDF t18x4'x8' WH,WH,MDF,4',8',18,枚,9315,1,対象(通常品),0,11,0,0,0,2026/02/20,,,,100,
02-105,02,面材,直接資材,N02000000000105,,MDF t18X3'X6' WS4002ES/TWﾎﾜｲﾄ,WS4002ES/TWﾎﾜｲﾄ,MDF,3',6',18,枚,3980,1,対象(通常品),0,4,4,15920,16079.2,2026/02/20,,,,100,
